sourceId,sourceFen,setupMove,playableFen,solutionMoves,rating,difficulty,popularity,ratingDeviation,numberOfPlays,themes,reviewStatus,inclusionReason
GkVId,r3rbk1/pb4pn/1p2n2N/2qpN3/5B2/4P3/PPQ2PPP/R4RK1 b - - 1 20,g7h6,r3rbk1/pb5n/1p2n2p/2qpN3/5B2/4P3/PPQ2PPP/R4RK1 w - - 0 21,c2g6 e6g7 g6f7 g8h8 e5g6,1501,medium,100,76,3823,exposedKing fork long mate mateIn3 middlegame,approved,"Approved medium Fork puzzle with popularity 100, 3823 plays, and rating deviation 76"
GqAcz,1r3rkR/1p4p1/p1q3p1/1b2P1N1/3p1Q2/6K1/P4P2/R7 b - - 3 32,g8h8,1r3r1k/1p4p1/p1q3p1/1b2P1N1/3p1Q2/6K1/P4P2/R7 w - - 0 33,f4h4 h8g8 h4h7,1426,medium,100,76,3354,mate mateIn2 middlegame short,approved,"Approved medium Mate puzzle with popularity 100, 3354 plays, and rating deviation 76"
GrRrk,8/1R1p1r2/6kp/3Q2p1/3B4/1P4P1/1P2q1K1/8 w - - 3 37,g2h3,8/1R1p1r2/6kp/3Q2p1/3B4/1P4PK/1P2q3/8 b - - 4 37,g5g4 h3h4 e2h2 h4g4 h6h5 d5h5 h2h5,2010,hard,99,77,1773,endgame mate mateIn4 veryLong,approved,"Approved hard Mate puzzle with popularity 99, 1773 plays, and rating deviation 77"
GuRp8,b7/3N2p1/2p4p/Pp1kp3/6P1/4K3/2P4P/8 b - - 4 41,c6c5,b7/3N2p1/7p/Pppkp3/6P1/4K3/2P4P/8 w - - 0 42,d7b6 d5c6 b6a8 c6b7 a8b6,1286,easy,100,75,8805,crushing defensiveMove endgame fork long,approved,"Approved easy Fork puzzle with popularity 100, 8805 plays, and rating deviation 75"
GwNu2,2r3k1/r5p1/3R3p/4p2P/p1pnPq2/P1B2P2/1P3R2/1K4Q1 b - - 0 34,d4f3,2r3k1/r5p1/3R3p/4p2P/p1p1Pq2/P1B2n2/1P3R2/1K4Q1 w - - 0 35,f2f3 f4f3 g1a7,2071,hard,99,75,1061,advantage discoveredAttack master middlegame short,approved,"Approved hard Discovered attack puzzle with popularity 99, 1061 plays, and rating deviation 75"
GwlY6,2b3k1/4r1pp/pq2p2B/1p1n1B2/8/6Q1/PP3PPP/4R1K1 b - - 0 27,e6f5,2b3k1/4r1pp/pq5B/1p1n1p2/8/6Q1/PP3PPP/4R1K1 w - - 0 28,e1e7 b6h6 e7e8 g8f7 e8c8,1469,medium,100,76,4088,advantage fork long middlegame pin,approved,"Approved medium Fork puzzle with popularity 100, 4088 plays, and rating deviation 76"
H4EEI,r4r2/1ppq1ppk/p2p3p/4nN2/P3PQ1P/2P5/1P2RP1K/6R1 b - - 6 23,f8g8,r5r1/1ppq1ppk/p2p3p/4nN2/P3PQ1P/2P5/1P2RP1K/6R1 w - - 7 24,g1g7 g8g7 f4h6 h7g8 h6g7,1306,easy,100,75,4448,attraction long mate mateIn3 middlegame sacrifice,approved,"Approved easy Sacrifice puzzle with popularity 100, 4448 plays, and rating deviation 75"
H5Va4,4r1k1/pp3ppp/2p2p2/3Pq3/2PQ1n2/5P1P/PP3PBK/3R4 b - - 4 24,e8d8,3r2k1/pp3ppp/2p2p2/3Pq3/2PQ1n2/5P1P/PP3PBK/3R4 w - - 5 25,d4e5 f6e5 d5c6 d8d1 c6c7,2009,hard,99,75,1058,advancedPawn advantage endgame long sacrifice,approved,"Approved hard Sacrifice puzzle with popularity 99, 1058 plays, and rating deviation 75"
HGb6v,r1b1k1nr/pp2ppb1/7p/2PNn1p1/2B1P3/6B1/PP3PPP/2KR2NR b kq - 4 12,e5c4,r1b1k1nr/pp2ppb1/7p/2PN2p1/2n1P3/6B1/PP3PPP/2KR2NR w kq - 0 13,d5c7 e8f8 d1d8,1538,medium,100,75,3292,backRankMate fork mate mateIn2 opening short,approved,"Approved medium Fork puzzle with popularity 100, 3292 plays, and rating deviation 75"
HITmG,5qk1/p3Rpp1/1prP1n1p/2p5/2Q1N3/6P1/PP3PP1/6K1 b - - 6 26,f6e4,5qk1/p3Rpp1/1prP3p/2p5/2Q1n3/6P1/PP3PP1/6K1 w - - 0 27,c4e4 c6d6 e7e8 d6d8 e8f8,1522,medium,100,76,3704,advantage endgame long pin,approved,"Approved medium Pin puzzle with popularity 100, 3704 plays, and rating deviation 76"
HIYZl,1Q3bk1/5pp1/b3p2P/4P3/4B3/8/p4PK1/3r4 b - - 2 37,a2a1q,1Q3bk1/5pp1/b3p2P/4P3/4B3/8/5PK1/q2r4 w - - 0 38,h6h7 g8h8 b8f8,1393,easy,100,75,6542,advancedPawn deflection endgame mate mateIn2 short,approved,"Approved easy Deflection puzzle with popularity 100, 6542 plays, and rating deviation 75"
HO5G1,8/p3kppp/4p3/3P4/3q1n2/5P1K/4B1PP/Q6R w - - 3 28,h3h4,8/p3kppp/4p3/3P4/3q1n1K/5P2/4B1PP/Q6R b - - 4 28,f4g6 h4g3 d4h4,2042,hard,99,76,1532,doubleCheck endgame mate mateIn2 short,approved,"Approved hard Mate puzzle with popularity 99, 1532 plays, and rating deviation 76"
HQ0LN,2k3rr/1p3p2/p2B4/P6p/B7/2P1b1P1/5K1p/RN2R3 w - - 4 30,f2e3,2k3rr/1p3p2/p2B4/P6p/B7/2P1K1P1/7p/RN2R3 b - - 0 30,g8e8 a4e8 h8e8 e3f2 e8e1,1480,medium,100,78,3588,advantage exposedKing long middlegame sacrifice,approved,"Approved medium Sacrifice puzzle with popularity 100, 3588 plays, and rating deviation 78"
HUOjx,r2q1r1k/pp2n1pp/8/2b2b2/2Bp1N2/8/PPP2P1Q/2KR3R b - - 5 22,f5e4,r2q1r1k/pp2n1pp/8/2b5/2BpbN2/8/PPP2P1Q/2KR3R w - - 6 23,h2h7 e4h7 h1h7 h8h7 d1h1,2025,hard,99,75,1238,attraction kingsideAttack long mate mateIn3 middlegame sacrifice,approved,"Approved hard Sacrifice puzzle with popularity 99, 1238 plays, and rating deviation 75"
HX16t,3r2k1/5bp1/p7/5p1p/1p1B1n1P/1B4P1/PPP1R3/6K1 w - - 0 28,e2d2,3r2k1/5bp1/p7/5p1p/1p1B1n1P/1B4P1/PPPR4/6K1 b - - 1 28,d8d4 d2d4 f4e2 g1f2 e2d4,1439,medium,100,77,3427,attraction crushing endgame exposedKing fork long sacrifice,approved,"Approved medium Fork puzzle with popularity 100, 3427 plays, and rating deviation 77"
Hdsjy,6k1/1p3ppp/2pp3r/p7/2P1q3/1P1NP1Pb/P4P2/2RQ1RK1 w - - 3 23,d3f4,6k1/1p3ppp/2pp3r/p7/2P1qN2/1P2P1Pb/P4P2/2RQ1RK1 b - - 4 23,h3f1 g1f1 h6h1 f1e2 h1d1,2029,hard,98,76,2288,advantage attraction kingsideAttack long middlegame skewer,approved,"Approved hard Skewer puzzle with popularity 98, 2288 plays, and rating deviation 76"
HpmqP,2kr4/pR6/3p3p/3Nnp2/4p3/2P2qP1/P4P2/1R4K1 b - - 4 38,d8g8,2k3r1/pR6/3p3p/3Nnp2/4p3/2P2qP1/P4P2/1R4K1 w - - 5 39,b7c7 c8d8 b1b8,2002,hard,98,74,2137,endgame mate mateIn2 short,approved,"Approved hard Mate puzzle with popularity 98, 2137 plays, and rating deviation 74"
Hqzec,2r2rk1/4bpp1/p3p2p/P3B3/1PqNQ1P1/3p1P1P/8/1R3RK1 w - - 2 26,f1c1,2r2rk1/4bpp1/p3p2p/P3B3/1PqNQ1P1/3p1P1P/8/1RR3K1 b - - 3 26,c4c1 b1c1 c8c1 g1g2 d3d2,1471,medium,100,76,4884,advancedPawn crushing exposedKing long middlegame,approved,"Approved medium Advanced pawn tactics puzzle with popularity 100, 4884 plays, and rating deviation 76"
IA8Jb,rnb1r3/pp2k1p1/2p1pbQp/4q3/4NP2/3P4/PPP3PP/R1B1R1K1 b - - 0 18,e5f5,rnb1r3/pp2k1p1/2p1pbQp/5q2/4NP2/3P4/PPP3PP/R1B1R1K1 w - - 1 19,g6f5 e6f5 e4f6 e7f6 e1e8,2156,hard,98,80,1716,crushing discoveredAttack discoveredCheck long opening skewer,approved,"Approved hard Skewer puzzle with popularity 98, 1716 plays, and rating deviation 80"
ISOAr,8/4k1pp/8/4K3/1R6/4P3/rp3PP1/8 w - - 0 40,f2f4,8/4k1pp/8/4K3/1R3P2/4P3/rp4P1/8 b - f3 0 40,a2a5 e5d4 a5a4 b4a4 b2b1q,1350,easy,100,75,5883,advancedPawn crushing deflection endgame long pin promotion rookEndgame,approved,"Approved easy Pin puzzle with popularity 100, 5883 plays, and rating deviation 75"
ISYhO,r4k2/1pp4R/3p1q2/p2Ppb2/5b2/5RQ1/PPP5/3K2N1 w - - 5 26,f3f4,r4k2/1pp4R/3p1q2/p2Ppb2/5R2/6Q1/PPP5/3K2N1 b - - 0 26,e5f4 g3f4 f5c2 d1c2 f6f4,1583,medium,100,75,3215,crushing discoveredAttack long middlegame,approved,"Approved medium Discovered attack puzzle with popularity 100, 3215 plays, and rating deviation 75"
IVVXa,r7/1p1q1p1k/p3rb1p/2pp1n1N/P2p1Q2/3P3P/1PP2P2/1R4RK b - - 3 33,a8g8,6r1/1p1q1p1k/p3rb1p/2pp1n1N/P2p1Q2/3P3P/1PP2P2/1R4RK w - - 4 34,f4f5 g8g6 h5f6 e6f6 f5d7,2014,hard,99,77,1126,crushing fork hangingPiece long middlegame,approved,"Approved hard Fork puzzle with popularity 99, 1126 plays, and rating deviation 77"
IXqrY,2r2rk1/p4q1p/b1n1R1p1/PN1Q4/1P6/2P5/5PPP/R5K1 w - - 1 25,b5d6,2r2rk1/p4q1p/b1nNR1p1/P2Q4/1P6/2P5/5PPP/R5K1 b - - 2 25,f7f2 g1h1 f2f1 a1f1 f8f1,880,easy,100,78,15968,backRankMate long mate mateIn3 middlegame sacrifice,approved,"Approved easy Sacrifice puzzle with popularity 100, 15968 plays, and rating deviation 78"
IaRjY,r2bR3/1pp2rpk/p2p3p/3P1q2/3B1P2/2P3QP/PP5K/6R1 b - - 5 27,d8h4,r3R3/1pp2rpk/p2p3p/3P1q2/3B1P1b/2P3QP/PP5K/6R1 w - - 6 28,g3g7 f7g7 g1g7,1312,easy,100,75,5060,mate mateIn2 middlegame operaMate sacrifice short,approved,"Approved easy Sacrifice puzzle with popularity 100, 5060 plays, and rating deviation 75"
Ie0W6,8/8/6k1/1R5n/5P1P/5PK1/r7/8 w - - 1 40,g3g4,8/8/6k1/1R5n/5PKP/5P2/r7/8 b - - 2 40,a2g2 g4h3 h5f4,1406,medium,100,76,3307,cornerMate deflection endgame mate mateIn2 short,approved,"Approved medium Deflection puzzle with popularity 100, 3307 plays, and rating deviation 76"
If6Nl,2r3k1/3R1pp1/6np/p3r1b1/4P3/5Q1P/PqP2PP1/3R2K1 b - - 1 28,b2c2,2r3k1/3R1pp1/6np/p3r1b1/4P3/5Q1P/P1q2PP1/3R2K1 w - - 0 29,f3f7 g8h8 f7g7,1191,easy,100,75,4114,fork mate mateIn2 middlegame short,approved,"Approved easy Fork puzzle with popularity 100, 4114 plays, and rating deviation 75"
IoM2m,3r1rk1/pbp2pp1/1pN1p3/6P1/3PQ3/1P6/q1P3PP/2KR3R b - - 0 18,d8d6,5rk1/pbp2pp1/1pNrp3/6P1/3PQ3/1P6/q1P3PP/2KR3R w - - 1 19,c6e7 g8h8 e4h4,1430,medium,100,75,3701,kingsideAttack mate mateIn2 middlegame short,approved,"Approved medium Mate puzzle with popularity 100, 3701 plays, and rating deviation 75"
IpT4v,8/R7/8/3k4/P5KP/r1p5/8/8 w - - 0 41,h4h5,8/R7/8/3k3P/P5K1/r1p5/8/8 b - - 0 41,c3c2 a7c7 a3a4 g4f5 a4c4,1393,easy,100,76,4880,advancedPawn crushing endgame long rookEndgame,approved,"Approved easy Advanced pawn tactics puzzle with popularity 100, 4880 plays, and rating deviation 76"
It1w3,4k3/8/4p3/7P/5P2/3R1K2/1r1p2P1/8 w - - 0 41,g2g4,4k3/8/4p3/7P/5PP1/3R1K2/1r1p4/8 b - g3 0 41,b2b3 d3b3 d2d1q,1186,easy,100,75,3770,advancedPawn crushing deflection endgame master pin promotion rookEndgame short,approved,"Approved easy Pin puzzle with popularity 100, 3770 plays, and rating deviation 75"
ItH6v,8/1pk1Q3/2p2P1p/6pP/6q1/PP6/K7/8 b - - 6 47,c7b6,8/1p2Q3/1kp2P1p/6pP/6q1/PP6/K7/8 w - - 7 48,e7b4 g4b4 a3b4 g5g4 f6f7,2126,hard,99,76,1022,advancedPawn crushing endgame long master queenEndgame,approved,"Approved hard Advanced pawn tactics puzzle with popularity 99, 1022 plays, and rating deviation 76"
IvTwv,r7/pp3pk1/6p1/2PQ1b2/1P1Pn3/P3b3/1B2B1Pr/R4R1K w - - 0 22,h1h2,r7/pp3pk1/6p1/2PQ1b2/1P1Pn3/P3b3/1B2B1PK/R4R2 b - - 0 22,a8h8 e2h5 h8h5,1105,easy,100,75,4700,mate mateIn2 middlegame pillsburysMate short,approved,"Approved easy Mate puzzle with popularity 100, 4700 plays, and rating deviation 75"
Iw82O,4r1k1/ppp4p/6pB/2nP1p2/2q1r3/2P5/PQ3PPP/3R1RK1 w - - 9 29,d1d4,4r1k1/ppp4p/6pB/2nP1p2/2qRr3/2P5/PQ3PPP/5RK1 b - - 10 29,c4f1 g1f1 e4e1,1448,medium,100,75,4243,attraction kingsideAttack mate mateIn2 middlegame sacrifice short,approved,"Approved medium Sacrifice puzzle with popularity 100, 4243 plays, and rating deviation 75"
IzurK,6k1/1p4pp/p2p4/2rP4/2P1pr1q/1P3P2/P2Q2KP/3R1R2 w - - 0 24,f3e4,6k1/1p4pp/p2p4/2rP4/2P1Pr1q/1P6/P2Q2KP/3R1R2 b - - 0 24,h4g5 g2h1 f4f1 d1f1 g5d2,2105,hard,98,76,2058,crushing deflection discoveredAttack endgame long,approved,"Approved hard Discovered attack puzzle with popularity 98, 2058 plays, and rating deviation 76"
J5eMp,6k1/1b3p1p/p5p1/1p6/1Pp1Pq2/P2r1P1P/N3Q1P1/3R2K1 b - - 2 28,d3a3,6k1/1b3p1p/p5p1/1p6/1Pp1Pq2/r4P1P/N3Q1P1/3R2K1 w - - 0 29,d1d8 g8g7 e2b2 f4f6 d8g8 g7g8 b2f6,2063,hard,98,75,2747,advantage deflection endgame fork veryLong,approved,"Approved hard Fork puzzle with popularity 98, 2747 plays, and rating deviation 75"
J5o1Y,8/3B4/1pP1P3/1nk5/K2p4/8/8/8 b - - 0 58,b5c7,8/2nB4/1pP1P3/2k5/K2p4/8/8/8 w - - 1 59,e6e7 d4d3 a4b3,2036,hard,100,77,1109,advancedPawn crushing defensiveMove endgame master short,approved,"Approved hard Advanced pawn tactics puzzle with popularity 100, 1109 plays, and rating deviation 77"
J6Yod,r1bqk2r/ppp2pp1/2n1pn2/3p3p/3P2P1/3BP3/PPPN1PP1/R2QK1NR b KQkq - 0 8,f6g4,r1bqk2r/ppp2pp1/2n1p3/3p3p/3P2n1/3BP3/PPPN1PP1/R2QK1NR w KQkq - 0 9,d1g4 h5g4 h1h8 e8d7 h8d8,1495,medium,100,74,3510,advantage long opening skewer,approved,"Approved medium Skewer puzzle with popularity 100, 3510 plays, and rating deviation 74"
J9rSE,8/2b5/1p6/p7/k3Np2/5P2/2K3P1/8 b - - 1 51,b6b5,8/2b5/8/pp6/k3Np2/5P2/2K3P1/8 w - - 0 52,e4c3 a4b4 c3d5 b4c4 d5c7,2005,hard,99,75,1146,crushing endgame fork long,approved,"Approved hard Fork puzzle with popularity 99, 1146 plays, and rating deviation 75"
JCj1Z,rQ4k1/2P2pp1/4p3/8/8/6B1/p4PKP/2q5 b - - 1 32,g8h7,rQ6/2P2ppk/4p3/8/8/6B1/p4PKP/2q5 w - - 2 33,b8a8 a2a1q a8a1 c1a1 c7c8q,1509,medium,100,76,4923,advancedPawn advantage endgame hangingPiece long promotion,approved,"Approved medium Promotion puzzle with popularity 100, 4923 plays, and rating deviation 76"
JCpSd,r2q1rk1/pp3ppp/2pn1b2/8/3P4/1P1Q3P/P1P3B1/RN3RK1 b - - 2 19,d8b6,r4rk1/pp3ppp/1qpn1b2/8/3P4/1P1Q3P/P1P3B1/RN3RK1 w - - 3 20,f1f6 g7f6 d3g3 g8h8 g3d6,1261,easy,100,75,4444,advantage fork long middlegame sacrifice,approved,"Approved easy Fork puzzle with popularity 100, 4444 plays, and rating deviation 75"
JEFDK,8/1r4k1/4R1Pp/5P1P/8/1p2K3/8/8 w - - 0 58,e3d3,8/1r4k1/4R1Pp/5P1P/8/1p1K4/8/8 b - - 1 58,b3b2 f5f6 g7f8 e6e1 b2b1q e1b1 b7b1,1452,medium,100,76,4171,advancedPawn crushing defensiveMove endgame exposedKing promotion rookEndgame veryLong,approved,"Approved medium Promotion puzzle with popularity 100, 4171 plays, and rating deviation 76"
JEpH7,2r1nrk1/1p2qp1p/p2p2p1/2n5/2PN4/B1P5/P5QP/1R3R1K b - - 3 23,g8g7,2r1nr2/1p2qpkp/p2p2p1/2n5/2PN4/B1P5/P5QP/1R3R1K w - - 4 24,d4f5 g7h8 f5e7,1123,easy,100,76,15559,crushing middlegame pin short,approved,"Approved easy Pin puzzle with popularity 100, 15559 plays, and rating deviation 76"
JLlNN,6k1/p3P1p1/2p5/8/1P4Q1/P6P/3pqr1K/3R4 w - - 0 40,h2g1,6k1/p3P1p1/2p5/8/1P4Q1/P6P/3pqr2/3R2K1 b - - 1 40,e2e1 d1e1 d2e1q,1595,medium,100,75,3745,advancedPawn endgame mate mateIn2 promotion short,approved,"Approved medium Promotion puzzle with popularity 100, 3745 plays, and rating deviation 75"
JTicr,5B2/1R4pp/4rpk1/3n4/1pp3P1/5K2/5P2/8 b - - 2 48,b4b3,5B2/1R4pp/4rpk1/3n4/2p3P1/1p3K2/5P2/8 w - - 0 49,b7g7 g6h6 g7g8,2045,hard,100,76,1167,discoveredAttack endgame mate mateIn2 short,approved,"Approved hard Discovered attack puzzle with popularity 100, 1167 plays, and rating deviation 76"
JZxCD,2r3k1/3n1pbp/p3p1p1/1p1q4/1P1P1P2/3QP1PP/2B3K1/2R2R2 w - - 1 27,d3e4,2r3k1/3n1pbp/p3p1p1/1p1q4/1P1PQP2/4P1PP/2B3K1/2R2R2 b - - 2 27,c8c2 c1c2 d5e4,1291,easy,100,75,4181,crushing middlegame pin short,approved,"Approved easy Pin puzzle with popularity 100, 4181 plays, and rating deviation 75"
Jcv7e,2r4k/2qR2p1/p3Qp1p/1pp5/4P3/5P1P/1P4P1/6K1 b - - 4 32,c7c6,2r4k/3R2p1/p1q1Qp1p/1pp5/4P3/5P1P/1P4P1/6K1 w - - 5 33,d7d8 c8d8 e6c6,1444,medium,100,77,6494,advantage deflection endgame short,approved,"Approved medium Deflection puzzle with popularity 100, 6494 plays, and rating deviation 77"
Jgtup,5r2/2R4p/4p3/1k2P3/4KP2/1p6/7P/8 w - - 0 40,c7h7,5r2/7R/4p3/1k2P3/4KP2/1p6/7P/8 b - - 0 40,f8b8 h7g7 b3b2,2063,hard,100,75,1125,advancedPawn crushing endgame quietMove rookEndgame short,approved,"Approved hard Advanced pawn tactics puzzle with popularity 100, 1125 plays, and rating deviation 75"
JhAms,2r3k1/1q4p1/1p1R1p1p/5Q1N/4P1P1/7P/5PK1/2r5 b - - 0 34,c8e8,4r1k1/1q4p1/1p1R1p1p/5Q1N/4P1P1/7P/5PK1/2r5 w - - 1 35,h5f6 g7f6 f5g6 b7g7 g6e8,2022,hard,99,77,1381,crushing endgame fork long master sacrifice,approved,"Approved hard Fork puzzle with popularity 99, 1381 plays, and rating deviation 77"
JhDPO,k5r1/8/P4p2/2R2P2/2Pp2p1/3K4/1P6/8 w - - 0 41,d3e2,k5r1/8/P4p2/2R2P2/2Pp2p1/8/1P2K3/8 b - - 1 41,d4d3 e2d3 g4g3 c5a5 g3g2,2028,hard,98,75,2294,advancedPawn crushing endgame long master rookEndgame,approved,"Approved hard Advanced pawn tactics puzzle with popularity 98, 2294 plays, and rating deviation 75"
Jk78a,r3k2r/1pp1qp2/p2p3p/3PnQ2/3p4/1P1P3P/1PP2PP1/R3R1K1 b kq - 3 16,e7d7,r3k2r/1ppq1p2/p2p3p/3PnQ2/3p4/1P1P3P/1PP2PP1/R3R1K1 w kq - 4 17,e1e5 d6e5 f5e5 d7e7 e5h8,1337,easy,100,76,4335,advantage fork long middlegame,approved,"Approved easy Fork puzzle with popularity 100, 4335 plays, and rating deviation 76"
JnYhu,2r3rk/pp3p1p/1q1bpP1Q/1b1p4/1n1P2P1/5R2/PP2N1BP/R1B4K b - - 6 21,b5e2,2r3rk/pp3p1p/1q1bpP1Q/3p4/1n1P2P1/5R2/PP2b1BP/R1B4K w - - 0 22,h6h7 h8h7 f3h3 h7g6 h3h6,2062,hard,100,79,1170,attraction kingsideAttack long mate mateIn3 middlegame sacrifice,approved,"Approved hard Sacrifice puzzle with popularity 100, 1170 plays, and rating deviation 79"
Jw0sQ,6k1/1b1q2b1/pp2p1Q1/4P2N/P5R1/1Pr5/5PPK/3q4 b - - 1 36,d1g4,6k1/1b1q2b1/pp2p1Q1/4P2N/P5q1/1Pr5/5PPK/8 w - - 0 37,h5f6 g8f8 f6d7 f8e7 g6g4,1600,medium,100,74,4499,crushing exposedKing fork long middlegame,approved,"Approved medium Fork puzzle with popularity 100, 4499 plays, and rating deviation 74"
K2lKw,r2qnr1k/4ppbP/p2p3B/2pP4/4P1Q1/2p3R1/PPP3PP/R5K1 b - - 4 19,g7h6,r2qnr1k/4pp1P/p2p3b/2pP4/4P1Q1/2p3R1/PPP3PP/R5K1 w - - 0 20,g4g8 f8g8 h7g8q,1450,medium,100,77,3585,advancedPawn kingsideAttack mate mateIn2 middlegame promotion short,approved,"Approved medium Promotion puzzle with popularity 100, 3585 plays, and rating deviation 77"
K40eT,4k3/4r3/7p/8/8/5BPP/6K1/8 b - - 9 58,e7d7,4k3/3r4/7p/8/8/5BPP/6K1/8 w - - 10 59,f3c6 e8e7 c6d7 e7d7 g2f3,1579,medium,100,74,4752,crushing defensiveMove endgame long master pin,approved,"Approved medium Pin puzzle with popularity 100, 4752 plays, and rating deviation 74"
K4pWF,5rk1/5p1p/3r2pP/4q3/8/1Q6/PpP5/1K3R2 b - - 3 31,f8d8,3r2k1/5p1p/3r2pP/4q3/8/1Q6/PpP5/1K3R2 w - - 4 32,b3f7 g8h8 f7f8 d8f8 f1f8,1450,medium,100,75,3426,endgame long mate mateIn3 sacrifice,approved,"Approved medium Sacrifice puzzle with popularity 100, 3426 plays, and rating deviation 75"
K7u6I,8/6Q1/2p2B1p/3p1k2/6P1/3b3P/PPr2P1K/5q2 b - - 0 40,f5f4,8/6Q1/2p2B1p/3p4/5kP1/3b3P/PPr2P1K/5q2 w - - 1 41,g7h6 f4e4 h6e3,2032,hard,100,75,1237,endgame mate mateIn2 short,approved,"Approved hard Mate puzzle with popularity 100, 1237 plays, and rating deviation 75"
K9ND4,2r1r1k1/2R2ppp/8/3b4/Q2n1n1B/8/P4PPP/5RK1 w - - 1 23,c7c8,2R1r1k1/5ppp/8/3b4/Q2n1n1B/8/P4PPP/5RK1 b - - 0 23,d4e2 g1h1 d5g2,1544,medium,100,75,3600,mate mateIn2 middlegame short,approved,"Approved medium Mate puzzle with popularity 100, 3600 plays, and rating deviation 75"
KEPe0,5r1k/1R4b1/p2P2Pp/1p5n/2p5/P4B1P/1pP5/5R1K w - - 1 32,b7f7,5r1k/5Rb1/p2P2Pp/1p5n/2p5/P4B1P/1pP5/5R1K b - - 2 32,h5g3 h1g2 g3f1,897,easy,100,78,22606,crushing endgame fork short,approved,"Approved easy Fork puzzle with popularity 100, 22606 plays, and rating deviation 78"
KFtaO,3Q4/6p1/4pknp/4p3/P5q1/8/BP3P1P/5K2 b - - 2 35,f6f5,3Q4/6p1/4p1np/4pk2/P5q1/8/BP3P1P/5K2 w - - 3 36,a2e6 f5e6 d8c8 e6d6 c8g4,2005,hard,97,75,6003,attraction crushing endgame long sacrifice skewer,approved,"Approved hard Skewer puzzle with popularity 97, 6003 plays, and rating deviation 75"
KKOKO,r3r1k1/3q1ppp/p2b1n2/8/3p4/P1NQ3P/1P3PP1/R2RB1K1 w - - 0 20,d3d4,r3r1k1/3q1ppp/p2b1n2/8/3Q4/P1N4P/1P3PP1/R2RB1K1 b - - 0 20,e8e1 d1e1 d6h2 g1h2 d7d4,1466,medium,100,75,3800,advantage discoveredAttack kingsideAttack long middlegame sacrifice,approved,"Approved medium Discovered attack puzzle with popularity 100, 3800 plays, and rating deviation 75"
KMCUb,r3r1k1/p4pb1/2pp2pp/1p1Pp3/1PP1P1nq/P1N1BQ2/5P2/RB2R1K1 w - - 5 22,g1f1,r3r1k1/p4pb1/2pp2pp/1p1Pp3/1PP1P1nq/P1N1BQ2/5P2/RB2RK2 b - - 6 22,g4h2 f1g2 h2f3,1151,easy,100,75,15019,advantage fork middlegame short,approved,"Approved easy Fork puzzle with popularity 100, 15019 plays, and rating deviation 75"
KRxAQ,2R2bk1/5p1p/1p3qp1/p1p3B1/2Pp4/P2P1n2/BP2QP1K/R7 w - - 0 33,h2g2,2R2bk1/5p1p/1p3qp1/p1p3B1/2Pp4/P2P1n2/BP2QPK1/R7 b - - 1 33,f6g5 g2f3 g5h5 f3g2 h5e2,2017,hard,98,79,1057,crushing deflection long middlegame skewer,approved,"Approved hard Skewer puzzle with popularity 98, 1057 plays, and rating deviation 79"
KVeXx,5r2/5qpk/4R2p/3pQp2/2r5/P4P1P/1B4PK/8 b - - 2 42,c4c2,5r2/5qpk/4R2p/3pQp2/8/P4P1P/1Br3PK/8 w - - 3 43,e6e7 f7f6 e5f6 f8f6 b2f6,2001,hard,100,76,1009,crushing endgame long pin,approved,"Approved hard Pin puzzle with popularity 100, 1009 plays, and rating deviation 76"
Kpeyi,r4r1k/1b2pPbp/p5p1/1pp5/3q2nQ/P1NP1P2/BPP4P/R1B2RK1 w - - 1 17,g1g2,r4r1k/1b2pPbp/p5p1/1pp5/3q2nQ/P1NP1P2/BPP3KP/R1B2R2 b - - 2 17,g4e3 c1e3 d4h4,1196,easy,100,75,6491,crushing discoveredAttack fork middlegame short,approved,"Approved easy Fork puzzle with popularity 100, 6491 plays, and rating deviation 75"
KxA9T,1r3k2/3P2p1/4B2p/p7/3p4/P5P1/1r5P/2RK4 b - - 0 30,f8e7,1r6/3Pk1p1/4B2p/p7/3p4/P5P1/1r5P/2RK4 w - - 1 31,c1c8 e7e6 d7d8q b8c8 d8c8,1436,medium,100,75,3243,advancedPawn advantage endgame long promotion,approved,"Approved medium Promotion puzzle with popularity 100, 3243 plays, and rating deviation 75"
L6LHu,5r2/1pRb1kp1/4p3/p2p4/1b4Q1/q5P1/5P1P/5RK1 b - - 1 25,f7e7,5r2/1pRbk1p1/4p3/p2p4/1b4Q1/q5P1/5P1P/5RK1 w - - 2 26,g4g7 f8f7 c7d7 e7d7 g7f7,1440,medium,100,75,3829,advantage attraction deflection long middlegame,approved,"Approved medium Deflection puzzle with popularity 100, 3829 plays, and rating deviation 75"
LEAKI,r1b2rk1/p1p2ppp/2p5/8/2PRp3/q3P3/P1P1BQPP/5RK1 b - - 4 17,a3a2,r1b2rk1/p1p2ppp/2p5/8/2PRp3/4P3/q1P1BQPP/5RK1 w - - 0 18,f2f7 f8f7 d4d8 f7f8 f1f8,1464,medium,100,75,4735,kingsideAttack long mate mateIn3 middlegame sacrifice,approved,"Approved medium Sacrifice puzzle with popularity 100, 4735 plays, and rating deviation 75"
